number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0.0026494928169995546,2023-07-03 14:46:25.052615,2023-07-03 14:52:09.777597,0 days 00:05:44.724982,0.0034347760041112973,COMPLETE
1,0.002382581421573247,2023-07-03 14:52:09.779069,2023-07-03 14:58:26.536019,0 days 00:06:16.756950,0.0012222184115101955,COMPLETE
2,0.0025711001695266794,2023-07-03 14:58:26.537720,2023-07-03 15:04:44.270960,0 days 00:06:17.733240,0.0004319646638407545,COMPLETE
3,0.003123027738183737,2023-07-03 15:04:44.272303,2023-07-03 15:11:02.022751,0 days 00:06:17.750448,0.00015917761879391117,COMPLETE
4,0.002285455253773502,2023-07-03 15:11:02.023759,2023-07-03 15:17:22.921217,0 days 00:06:20.897458,0.0032805255006080505,COMPLETE
5,0.0025489790963807274,2023-07-03 15:17:22.922771,2023-07-03 15:23:45.279955,0 days 00:06:22.357184,0.0007496135666972148,COMPLETE
6,0.002965607846687947,2023-07-03 15:23:45.281109,2023-07-03 15:30:05.955186,0 days 00:06:20.674077,0.00015149522611784195,COMPLETE
7,0.002564036985859275,2023-07-03 15:30:05.956404,2023-07-03 15:36:25.499935,0 days 00:06:19.543531,0.004200506903017709,COMPLETE
8,0.002395656325721315,2023-07-03 15:36:25.501109,2023-07-03 15:42:39.481276,0 days 00:06:13.980167,0.00201326132798636,COMPLETE
9,0.002566179360396096,2023-07-03 15:42:39.482624,2023-07-03 15:48:56.797687,0 days 00:06:17.315063,0.00026862813239974463,COMPLETE
